user_id,event_time,event_name,device,acquisition_channel,signup_date
U038,2026-08-03 08:08:00,visit,mobile,ad,2026-08-03 00:00:00
U038,2026-08-03 08:13:00,view_product,mobile,ad,2026-08-03 00:00:00
U038,2026-08-03 08:16:00,view_product,mobile,ad,2026-08-03 00:00:00
U052,2026-08-03 13:01:00,visit,pc,referral,2026-08-03 00:00:00
U052,2026-08-03 13:10:00,view_product,pc,referral,2026-08-03 00:00:00
U052,2026-08-03 13:17:00,view_product,pc,referral,2026-08-03 00:00:00
U052,2026-08-03 13:23:00,add_cart,pc,referral,2026-08-03 00:00:00
U052,2026-08-03 13:26:00,begin_checkout,pc,referral,2026-08-03 00:00:00
U052,2026-08-03 13:31:00,purchase,pc,referral,2026-08-03 00:00:00
U057,2026-08-03 14:56:00,visit,pc,search,2026-08-03 00:00:00
U057,2026-08-03 15:03:00,view_product,pc,search,2026-08-03 00:00:00
U001,2026-08-03 15:46:00,visit,mobile,search,2026-08-03 00:00:00
U001,2026-08-03 15:57:00,view_product,mobile,search,2026-08-03 00:00:00
U001,2026-08-03 16:00:00,add_cart,mobile,search,2026-08-03 00:00:00
U001,2026-08-03 16:05:00,begin_checkout,mobile,search,2026-08-03 00:00:00
U001,2026-08-03 16:12:00,purchase,mobile,search,2026-08-03 00:00:00
U004,2026-08-04 08:56:00,visit,mobile,search,2026-08-04 00:00:00
U004,2026-08-04 09:07:00,view_product,mobile,search,2026-08-04 00:00:00
U004,2026-08-04 09:13:00,add_cart,mobile,search,2026-08-04 00:00:00
U041,2026-08-04 11:00:00,visit,mobile,ad,2026-08-04 00:00:00
U008,2026-08-04 11:54:00,visit,mobile,search,2026-08-04 00:00:00
U042,2026-08-04 15:30:00,visit,pc,referral,2026-08-04 00:00:00
U042,2026-08-04 15:33:00,view_product,pc,referral,2026-08-04 00:00:00
U042,2026-08-04 15:43:00,add_cart,pc,referral,2026-08-04 00:00:00
U042,2026-08-04 15:44:00,begin_checkout,pc,referral,2026-08-04 00:00:00
U038,2026-08-04 17:23:00,visit,mobile,ad,2026-08-03 00:00:00
U003,2026-08-04 18:30:00,visit,pc,ad,2026-08-04 00:00:00
U003,2026-08-04 18:33:00,view_product,pc,ad,2026-08-04 00:00:00
U028,2026-08-04 18:33:00,visit,pc,search,2026-08-04 00:00:00
U028,2026-08-04 18:34:00,view_product,pc,search,2026-08-04 00:00:00
U028,2026-08-04 18:42:00,add_cart,pc,search,2026-08-04 00:00:00
U003,2026-08-04 18:44:00,add_cart,pc,ad,2026-08-04 00:00:00
U028,2026-08-04 18:47:00,begin_checkout,pc,search,2026-08-04 00:00:00
U026,2026-08-04 19:14:00,visit,mobile,referral,2026-08-04 00:00:00
U018,2026-08-04 19:15:00,visit,mobile,referral,2026-08-04 00:00:00
U018,2026-08-04 19:21:00,view_product,mobile,referral,2026-08-04 00:00:00
U026,2026-08-04 19:21:00,view_product,mobile,referral,2026-08-04 00:00:00
U018,2026-08-04 19:28:00,add_cart,mobile,referral,2026-08-04 00:00:00
U018,2026-08-04 19:29:00,view_product,mobile,referral,2026-08-04 00:00:00
U026,2026-08-04 19:30:00,add_cart,mobile,referral,2026-08-04 00:00:00
U059,2026-08-04 19:32:00,visit,mobile,ad,2026-08-04 00:00:00
U018,2026-08-04 19:34:00,begin_checkout,mobile,referral,2026-08-04 00:00:00
U059,2026-08-04 19:42:00,view_product,mobile,ad,2026-08-04 00:00:00
U022,2026-08-04 21:17:00,visit,pc,referral,2026-08-04 00:00:00
U022,2026-08-04 21:26:00,view_product,pc,referral,2026-08-04 00:00:00
U022,2026-08-04 21:31:00,add_cart,pc,referral,2026-08-04 00:00:00
U022,2026-08-04 21:36:00,begin_checkout,pc,referral,2026-08-04 00:00:00
U022,2026-08-04 21:43:00,purchase,pc,referral,2026-08-04 00:00:00
U022,2026-08-04 21:57:00,share,pc,referral,2026-08-04 00:00:00
U008,2026-08-05 08:01:00,visit,mobile,search,2026-08-04 00:00:00
U041,2026-08-05 09:40:00,visit,mobile,ad,2026-08-04 00:00:00
U028,2026-08-05 10:28:00,visit,pc,search,2026-08-04 00:00:00
U004,2026-08-05 10:37:00,visit,mobile,search,2026-08-04 00:00:00
U030,2026-08-05 11:10:00,visit,mobile,search,2026-08-05 00:00:00
U030,2026-08-05 11:11:00,view_product,mobile,search,2026-08-05 00:00:00
U030,2026-08-05 11:21:00,add_cart,mobile,search,2026-08-05 00:00:00
U033,2026-08-05 11:45:00,visit,mobile,search,2026-08-05 00:00:00
U033,2026-08-05 11:48:00,view_product,mobile,search,2026-08-05 00:00:00
U033,2026-08-05 11:58:00,add_cart,mobile,search,2026-08-05 00:00:00
U012,2026-08-05 14:19:00,visit,mobile,search,2026-08-05 00:00:00
U029,2026-08-05 14:55:00,visit,mobile,search,2026-08-05 00:00:00
U029,2026-08-05 14:56:00,view_product,mobile,search,2026-08-05 00:00:00
U029,2026-08-05 14:59:00,add_cart,mobile,search,2026-08-05 00:00:00
U029,2026-08-05 15:05:00,begin_checkout,mobile,search,2026-08-05 00:00:00
U029,2026-08-05 15:12:00,purchase,mobile,search,2026-08-05 00:00:00
U047,2026-08-05 18:04:00,visit,pc,referral,2026-08-05 00:00:00
U047,2026-08-05 18:13:00,view_product,pc,referral,2026-08-05 00:00:00
U047,2026-08-05 18:17:00,add_cart,pc,referral,2026-08-05 00:00:00
U047,2026-08-05 18:18:00,begin_checkout,pc,referral,2026-08-05 00:00:00
U047,2026-08-05 18:22:00,purchase,pc,referral,2026-08-05 00:00:00
U059,2026-08-05 20:01:00,visit,mobile,ad,2026-08-04 00:00:00
U002,2026-08-05 20:18:00,visit,pc,search,2026-08-05 00:00:00
U002,2026-08-05 20:21:00,view_product,pc,search,2026-08-05 00:00:00
U002,2026-08-05 20:33:00,add_cart,pc,search,2026-08-05 00:00:00
U002,2026-08-05 20:39:00,begin_checkout,pc,search,2026-08-05 00:00:00
U002,2026-08-05 20:42:00,purchase,pc,search,2026-08-05 00:00:00
U002,2026-08-05 20:56:00,share,pc,search,2026-08-05 00:00:00
U040,2026-08-06 08:45:00,visit,pc,search,2026-08-06 00:00:00
U048,2026-08-06 10:12:00,visit,pc,search,2026-08-06 00:00:00
U048,2026-08-06 10:15:00,view_product,pc,search,2026-08-06 00:00:00
U048,2026-08-06 10:22:00,add_cart,pc,search,2026-08-06 00:00:00
U048,2026-08-06 10:26:00,begin_checkout,pc,search,2026-08-06 00:00:00
U048,2026-08-06 10:30:00,purchase,pc,search,2026-08-06 00:00:00
U050,2026-08-06 11:24:00,visit,mobile,ad,2026-08-06 00:00:00
